metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100.npz
n_neurons,461
K,100
threshold_mode,oracle_f1
existing_pooled_threshold,0.28017058968544006
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.9162075420921079
ap_all,0.7601937757110652
auc_E,0.9747372809595167
ap_E,0.8916870433975198
auc_I,0.6336645588049825
ap_I,0.13003247511871113
I_signal_vs_null_auc,0.6336645588049825
I_signal_vs_null_overlap,0.7194781999065234
E_signal_vs_null_auc,0.9747372809595167
E_signal_vs_null_overlap,0.13923506447640957
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.03333333333333333
I_only_fdr_floor,0.5
existing_pooled_I_selected,70
existing_pooled_I_fdr,0.6832579185520362
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,inf
stratified_I_selected,0
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,0
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,0
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,0
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,0
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,0
sweep_stratifiedI_fdr0.2_realizedfdr,0.0
sweep_stratifiedI_fdr0.5_Iselected,3
sweep_stratifiedI_fdr0.5_realizedfdr,0.5
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,14
sweep_pooledI_fdr0.05_realizedfdr,0.6744186046511628
sweep_pooledI_fdr0.1_Iselected,48
sweep_pooledI_fdr0.1_realizedfdr,0.6643356643356644
sweep_pooledI_fdr0.2_Iselected,72
sweep_pooledI_fdr0.2_realizedfdr,0.7012448132780082
sweep_pooledI_fdr0.5_Iselected,98
sweep_pooledI_fdr0.5_realizedfdr,0.827768014059754
