metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100_condoracle_frozenA_seed1.npz
n_neurons,461
K,100
threshold_mode,surrogate_fdr_per_neuron
existing_pooled_threshold,0.47951939702033997
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.3569123682820342
ap_all,0.04722525761738899
auc_E,0.31862038073602783
ap_E,0.04679112037213707
auc_I,0.6816747485032605
ap_I,0.062051611995407416
I_signal_vs_null_auc,0.6816747485032605
I_signal_vs_null_overlap,0.6856012552580633
E_signal_vs_null_auc,0.31862038073602783
E_signal_vs_null_overlap,0.6954166456449612
magnitude_corr_E_withintype,-0.05676357646559068
magnitude_corr_I_withintype,0.028282167638782385
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.84
I_only_fdr_floor,0.84
existing_pooled_I_selected,408
existing_pooled_I_fdr,0.9628279883381924
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,inf
stratified_I_selected,0
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,0
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,0
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,0
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,0
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,0
sweep_stratifiedI_fdr0.2_realizedfdr,0.0
sweep_stratifiedI_fdr0.5_Iselected,0
sweep_stratifiedI_fdr0.5_realizedfdr,0.0
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,0
sweep_pooledI_fdr0.05_realizedfdr,nan
sweep_pooledI_fdr0.1_Iselected,0
sweep_pooledI_fdr0.1_realizedfdr,nan
sweep_pooledI_fdr0.2_Iselected,0
sweep_pooledI_fdr0.2_realizedfdr,nan
sweep_pooledI_fdr0.5_Iselected,0
sweep_pooledI_fdr0.5_realizedfdr,nan
