metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100_hyperpolg2.npz
n_neurons,461
K,100
threshold_mode,surrogate_fdr_per_neuron
existing_pooled_threshold,0.1750851795077324
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.612078876647446
ap_all,0.14066333552442903
auc_E,0.5874393449954934
ap_E,0.12257649021534386
auc_I,0.67014758277507
ap_I,0.2555315063796619
I_signal_vs_null_auc,0.67014758277507
I_signal_vs_null_overlap,0.6498325209766087
E_signal_vs_null_auc,0.5874393449954934
E_signal_vs_null_overlap,0.8750598811785063
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.125
I_only_fdr_floor,0.0
existing_pooled_I_selected,209
existing_pooled_I_fdr,0.8962779156327544
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,1.0783218145370483
stratified_I_selected,7
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,7
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,7
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,7
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,7
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,27
sweep_stratifiedI_fdr0.2_realizedfdr,0.18181818181818182
sweep_stratifiedI_fdr0.5_Iselected,93
sweep_stratifiedI_fdr0.5_realizedfdr,0.5
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,0
sweep_pooledI_fdr0.05_realizedfdr,nan
sweep_pooledI_fdr0.1_Iselected,0
sweep_pooledI_fdr0.1_realizedfdr,nan
sweep_pooledI_fdr0.2_Iselected,27
sweep_pooledI_fdr0.2_realizedfdr,0.18181818181818182
sweep_pooledI_fdr0.5_Iselected,71
sweep_pooledI_fdr0.5_realizedfdr,0.4180327868852459
