metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100_l1inh0_ORACLE.npz
n_neurons,461
K,100
threshold_mode,surrogate_fdr_per_neuron
existing_pooled_threshold,0.17680686712265015
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.9106031617333765
ap_all,0.6726484644019791
auc_E,0.953178174970581
ap_E,0.7803491154619712
auc_I,0.6876862810012389
ap_I,0.23129327896525234
I_signal_vs_null_auc,0.6876862810012389
I_signal_vs_null_overlap,0.6051250806792637
E_signal_vs_null_auc,0.953178174970581
E_signal_vs_null_overlap,0.2090389558326027
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.09433962264150944
I_only_fdr_floor,0.2
existing_pooled_I_selected,176
existing_pooled_I_fdr,0.7858880778588808
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,inf
stratified_I_selected,0
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,0
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,0
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,0
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,0
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,4
sweep_stratifiedI_fdr0.2_realizedfdr,0.2
sweep_stratifiedI_fdr0.5_Iselected,56
sweep_stratifiedI_fdr0.5_realizedfdr,0.5
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,0
sweep_pooledI_fdr0.05_realizedfdr,nan
sweep_pooledI_fdr0.1_Iselected,46
sweep_pooledI_fdr0.1_realizedfdr,0.48314606741573035
sweep_pooledI_fdr0.2_Iselected,99
sweep_pooledI_fdr0.2_realizedfdr,0.5308056872037915
sweep_pooledI_fdr0.5_Iselected,156
sweep_pooledI_fdr0.5_realizedfdr,0.7034220532319392
