metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100_p2base.npz
n_neurons,461
K,100
threshold_mode,surrogate_fdr_per_neuron
existing_pooled_threshold,0.17727208137512207
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.9084530655314658
ap_all,0.6832588441342203
auc_E,0.9543533882670251
ap_E,0.7927617548299452
auc_I,0.6822842478837923
ap_I,0.21953421689472227
I_signal_vs_null_auc,0.6822842478837923
I_signal_vs_null_overlap,0.6114597939062117
E_signal_vs_null_auc,0.9543533882670251
E_signal_vs_null_overlap,0.20311502122396774
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.08614232209737828
I_only_fdr_floor,0.2
existing_pooled_I_selected,159
existing_pooled_I_fdr,0.7542503863987635
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,inf
stratified_I_selected,0
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,0
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,0
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,0
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,0
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,4
sweep_stratifiedI_fdr0.2_realizedfdr,0.2
sweep_stratifiedI_fdr0.5_Iselected,46
sweep_stratifiedI_fdr0.5_realizedfdr,0.5
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,0
sweep_pooledI_fdr0.05_realizedfdr,nan
sweep_pooledI_fdr0.1_Iselected,47
sweep_pooledI_fdr0.1_realizedfdr,0.5104166666666666
sweep_pooledI_fdr0.2_Iselected,89
sweep_pooledI_fdr0.2_realizedfdr,0.5527638190954773
sweep_pooledI_fdr0.5_Iselected,140
sweep_pooledI_fdr0.5_realizedfdr,0.6916299559471366
