metric,value
session,20260523_084407
conn_file,connectivity_20260523_084407_voltage_all20_K100_p3base_seed1.npz
n_neurons,461
K,100
threshold_mode,surrogate_fdr_per_neuron
existing_pooled_threshold,0.17648985981941223
fdr_target,0.005
n_true_edges_total,2780
presyn_E,358
presyn_I,95
presyn_mixed_sign,0
coverage_E,0.9693225394120153
coverage_E_covered,2275
coverage_E_total,2347
coverage_I,0.9422632794457275
coverage_I_covered,408
coverage_I_total,433
coverage_gap_points,2.7059259966287774
auc_all,0.9035625667306943
ap_all,0.6557016897611666
auc_E,0.9483772834684857
ap_E,0.7601558518097948
auc_I,0.6783451060144073
ap_I,0.22789644378757218
I_signal_vs_null_auc,0.6783451060144073
I_signal_vs_null_overlap,0.6172436625047295
E_signal_vs_null_auc,0.9483772834684857
E_signal_vs_null_overlap,0.2216299843598516
n_candidates_total,46100
n_candidates_I,10980
n_true_I_in_candidates,408
pooled_fdr_floor,0.09659090909090909
I_only_fdr_floor,0.2
existing_pooled_I_selected,166
existing_pooled_I_fdr,0.7628571428571429
pooled_fdr_threshold,inf
pooled_fdr_I_selected,0
pooled_fdr_I_fdr,nan
stratified_I_threshold,inf
stratified_I_selected,0
stratified_I_fdr,0.0
sweep_stratifiedI_fdr0.005_Iselected,0
sweep_stratifiedI_fdr0.005_realizedfdr,0.0
sweep_stratifiedI_fdr0.01_Iselected,0
sweep_stratifiedI_fdr0.01_realizedfdr,0.0
sweep_stratifiedI_fdr0.05_Iselected,0
sweep_stratifiedI_fdr0.05_realizedfdr,0.0
sweep_stratifiedI_fdr0.1_Iselected,0
sweep_stratifiedI_fdr0.1_realizedfdr,0.0
sweep_stratifiedI_fdr0.2_Iselected,4
sweep_stratifiedI_fdr0.2_realizedfdr,0.2
sweep_stratifiedI_fdr0.5_Iselected,75
sweep_stratifiedI_fdr0.5_realizedfdr,0.5
sweep_pooledI_fdr0.005_Iselected,0
sweep_pooledI_fdr0.005_realizedfdr,nan
sweep_pooledI_fdr0.01_Iselected,0
sweep_pooledI_fdr0.01_realizedfdr,nan
sweep_pooledI_fdr0.05_Iselected,0
sweep_pooledI_fdr0.05_realizedfdr,nan
sweep_pooledI_fdr0.1_Iselected,44
sweep_pooledI_fdr0.1_realizedfdr,0.47619047619047616
sweep_pooledI_fdr0.2_Iselected,89
sweep_pooledI_fdr0.2_realizedfdr,0.526595744680851
sweep_pooledI_fdr0.5_Iselected,144
sweep_pooledI_fdr0.5_realizedfdr,0.6828193832599119
